Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.03,0.15
Tche,0.08,0.0,0.13,0.1
HV1,0.03,0.0,0.14,0.25
HV2,0.01,0.0,0.90,0.14
