Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,35.55,0.19,0.88,20.56
Tche,37.73,0.19,1.34,33.36
HV1,40.84,0.7,3.31,39.32
HV2,40.94,0.7,5.54,37.38
