Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,3.59,0.5,0.84,295.33
Tche,3.52,0.39,0.44,302.65
HV1,3.61,0.73,3.62,310.68
HV2,3.61,0.59,2.19,305.43
