Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.02,0.99
Tche,0.0,0.01,0.02,0.38
HV1,0.0,0.01,0.32,1.04
HV2,0.0,0.0,0.04,0.61
