trialJobId,nadir_eps,reward
KGQFt,0.28962491189063877,0.4625549963473461
jxaQy,0.7153200145534859,0.7245163751073825
eFqMH,0.23154211168343283,0.7966656946230658
ZRtrH,0.5521298821389775,1.143284986457068
kKyqo,0.312737805682674,0.8160681487174886
M6Gsu,0.10843064176131266,0.652111232796408
FF94u,0.7811238683262682,0.8190501890020658
MqqnA,0.4118564272584771,1.4268232841041733
pFiuc,0.7884119771304637,0.7858388528908006
Aryr5,0.4225991468590937,1.430673830051724
Nv2CP,0.38857824132295554,0.9996469433309436
aa7Pf,0.3347472309018813,0.504042425392282
aLGOJ,0.08473456620617292,0.7673469032905761
y8Tyu,0.22894607839709938,0.5602160286325241
UZTNI,0.5468364987697545,0.7216844696200435
FxKIq,0.6523937903745188,0.8071031447504105
kqfKn,0.289826723976756,0.8386195381621632
vmbrE,0.09946054103373557,0.2858095084074692
DZMjz,0.7683935460057422,1.0066449861939195
QwbzF,0.4010176418216376,1.4082042357178366
