Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,2.58,0.37,1.90,411.48
Tche,2.54,0.38,2.19,422.64
HV1,2.62,0.59,14.70,425.64
HV2,2.6,0.55,8.93,426.51
