Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.03,0.59
Tche,0.01,0.01,0.08,3.1
HV1,0.0,0.02,2.17,1.22
HV2,0.0,0.01,2.17,1.55
