Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.01,0.16
Tche,0.03,0.02,0.02,0.37
HV1,0.01,0.0,0.01,0.54
HV2,0.01,0.0,0.04,0.47
