Method,HV,Range,Sparsity,Time
EPO,1.35,0.54,2.87,123.9
LS,\textbf{3.11},\textbf{0.75},6.25,54.93
Tche,2.38,0.42,4.34,54.39
HV1,2.4,0.32,1.2,54.33
HV2,2.97,0.6,3.51,53.65
0.0,0.0,0.0,0.0,0.0
EPO,1.33,1.2,1.0,30.48
LS,3.02,\textbf{1.33},2.1,13.78
Tche,\textbf{3.08},1.25,1.02,14.37
HV1,1.63,0.52,0.36,14.53
HV2,2.9,1.15,1.26,14.57
0.0,0.0,0.0,0.0,0.0
