Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,12.14,1.5,0.27,111.29
Tche,12.06,1.37,0.08,124.61
HV1,12.18,1.53,0.70,137.87
HV2,12.15,1.51,0.37,126.36
