Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.02,0.45
Tche,0.0,0.0,0.01,0.16
HV1,0.0,0.0,0.17,1.15
HV2,0.0,0.0,0.00,0.59
