Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.00,0.03
Tche,0.03,0.01,0.04,0.04
HV1,0.01,0.0,0.01,0.07
HV2,0.0,0.0,0.04,0.1
