Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,8.75,0.0,0.00,9.07
Tche,11.19,1.42,0.66,21.58
HV1,11.3,1.46,0.73,32.86
HV2,11.51,1.55,1.00,25.25
