Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,11.89,1.56,0.94,41.58
Tche,11.5,1.37,0.31,54.08
HV1,11.9,1.56,0.81,65.12
HV2,11.81,1.53,0.56,57.63
