Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.00,0.54
Tche,0.0,0.0,0.00,0.19
HV1,0.0,0.0,0.04,2.09
HV2,0.0,0.0,0.01,0.12
