Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,0.0,0.0,0.43,0.04
Tche,0.01,0.0,0.01,0.32
HV1,0.01,0.0,0.02,1.05
HV2,0.0,0.0,0.01,0.09
