Method,HV,Range,Sparsity,Time
EPO,0.0,0.0,0.00,0.0
LS,11.51,1.57,7.22,9.0
Tche,11.47,1.52,0.63,22.81
HV1,11.57,1.57,0.98,31.8
HV2,11.56,1.56,0.66,25.78
